"Index","File","SourcePath","SizeKB","Modified"
"63","063_commute_service_proposal.docx","C:\Users\pecul\OneDrive\Pictures\commute_service_proposal.docx","41.3","2026-05-16 18:32:44"
"64","064_logo_nobg.jpeg","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\Assets\logo nobg.jpeg","44.3","2026-07-10 10:12:46"
"65","065_Public_Notice.png","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\Assets\Public Notice.png","1572.7","2026-07-25 22:40:13"
"66","066_EstateOS_Commercial_Proposal.pdf","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\EstateOS_Commercial_Proposal.pdf","105.2","2026-08-08 11:00:20"
"67","067_EstateOS_Delpoyment_Proposal.docx","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\EstateOS_Delpoyment_Proposal.docx","57.4","2026-08-08 11:10:24"
"68","068_EstateOS_Delpoyment_Proposal.pdf","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\EstateOS_Delpoyment_Proposal.pdf","147.7","2026-08-08 11:10:48"
"69","069_Gazie_Commute_Investors_Pitch.pdf","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\Gazie Commute Investors Pitch.pdf","203.3","2026-07-07 22:26:25"
"70","070_Investors_Pitch.docx","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\Investors Pitch.docx","49.8","2026-07-07 22:26:03"
"71","071_Newsite_EstateOS_Commercial_Proposal.pdf","C:\Users\pecul\OneDrive\Pictures\Gazie Commute Technologies Ltd\Newsite EstateOS Commercial Proposal.pdf","149.3","2026-07-08 10:38:37"
"72","072_Newsite_Commute_flyer.png","C:\Users\pecul\OneDrive\Pictures\Newsite Commute flyer.png","1649.7","2026-05-12 06:58:38"
